"","timeseries","SSStime"
"2228","20160211","34.3123826980591"
"2229","20160212","34.3151030540466"
"2230","20160213","34.3160347938538"
"2231","20160214","34.3166511058807"
"2232","20160215","34.3170936107635"
"2233","20160216","34.3162696361542"
"2234","20160217","34.3159558773041"
"2235","20160218","34.3160908222198"
"2236","20160219","34.3174028396606"
"2237","20160220","34.3214523792267"
"2238","20160221","34.3271343708038"
"2239","20160222","34.3355960845947"
"2240","20160223","34.3445513248444"
"2241","20160224","34.3539624214172"
"2242","20160225","34.3631427288055"
"2243","20160226","34.3709633350372"
"2244","20160227","34.3755390644073"
"2245","20160228","34.3763995170593"
"2246","20160229","34.373095035553"
"2247","20160301","34.3665578365326"
"2248","20160302","34.3568184375763"
"2249","20160303","34.3461129665375"
"2250","20160304","34.3361511230469"
"2251","20160305","34.3277578353882"
"2252","20160306","34.3211312294006"
"2253","20160307","34.3167486190796"
"2254","20160308","34.3138744831085"
"2255","20160309","34.3117246627808"
"2256","20160310","34.3092346191406"
"2257","20160311","34.3055746555328"
"2258","20160312","34.3006007671356"
"2259","20160313","34.2945802211761"
"2260","20160314","34.2878329753876"
"2261","20160315","34.2813518047333"
"2262","20160316","34.2765929698944"
"2263","20160317","34.2735598087311"
"2264","20160318","34.2731082439423"
"2265","20160319","34.2752213478088"
"2266","20160320","34.2796714305878"
"2267","20160321","34.286557674408"
"2268","20160322","34.2949450016022"
"2269","20160323","34.3045766353607"
"2270","20160324","34.314254283905"
"2271","20160325","34.323260307312"
"2272","20160326","34.3318545818329"
"2273","20160327","34.3395903110504"
"2274","20160328","34.3462598323822"
"2275","20160329","34.3515393733978"
"2276","20160330","34.35618019104"
"2277","20160331","34.3612425327301"
"2278","20160401","34.3668148517609"
"2279","20160402","34.3725657463074"
"2280","20160403","34.3795733451843"
"2281","20160404","34.3872916698456"
"2282","20160405","34.3949675559998"
"2283","20160406","34.4021019935608"
"2284","20160407","34.406989812851"
"2285","20160408","34.4096148014069"
"2286","20160409","34.4100458621979"
"2287","20160410","34.4074983596802"
"2288","20160411","34.4027538299561"
"2289","20160412","34.3962275981903"
"2290","20160413","34.3893315792084"
"2291","20160414","34.3828399181366"
"2292","20160415","34.3773376941681"
"2293","20160416","34.3736448287964"
"2294","20160417","34.372043132782"
"2295","20160418","34.3723413944244"
"2296","20160419","34.3744947910309"
"2297","20160420","34.3780584335327"
"2298","20160421","34.3819301128387"
"2299","20160422","34.3850827217102"
"2300","20160423","34.3870491981506"
"2301","20160424","34.3874895572662"
"2302","20160425","34.3866472244263"
"2303","20160426","34.3846590518951"
"2304","20160427","34.3822054862976"
"2305","20160428","34.3792226314545"
"2306","20160429","34.3765556812286"
"2307","20160430","34.3745033740997"
"2308","20160501","34.3735318183899"
"2309","20160502","34.3741478919983"
"2310","20160503","34.3761882781982"
"2311","20160504","34.379034280777"
"2312","20160505","34.3824784755707"
"2313","20160506","34.3864068984985"
"2314","20160507","34.3906407356262"
"2315","20160508","34.3942582607269"
"2316","20160509","34.3973169326782"
"2317","20160510","34.3981087207794"
"2318","20160511","34.3967528343201"
"2319","20160512","34.3926000595093"
"2320","20160513","34.3849282264709"
"2321","20160514","34.3741075992584"
"2322","20160515","34.3602602481842"
"2323","20160516","34.3446340560913"
"2324","20160517","34.3282606601715"
"2325","20160518","34.3126640319824"
"2326","20160519","34.298926115036"
"2327","20160520","34.2879452705383"
"2328","20160521","34.2804043292999"
"2329","20160522","34.2758448123932"
"2330","20160523","34.2736437320709"
"2331","20160524","34.272545337677"
"2332","20160525","34.2717597484589"
"2333","20160526","34.2699036598206"
"2334","20160527","34.2666168212891"
"2335","20160528","34.2608394622803"
"2336","20160529","34.2551069259644"
"2337","20160530","34.2481672763824"
"2338","20160531","34.2415835857391"
"2339","20160601","34.2364287376404"
"2340","20160602","34.2327122688293"
"2341","20160603","34.2307507991791"
"2342","20160604","34.2301559448242"
"2343","20160605","34.2295570373535"
"2344","20160606","34.2279350757599"
"2345","20160607","34.2244613170624"
"2346","20160608","34.2163670063019"
"2347","20160609","34.2037725448608"
"2348","20160610","34.1879136562347"
"2349","20160611","34.1687064170837"
"2350","20160612","34.1480894088745"
"2351","20160613","34.1274132728577"
"2352","20160614","34.1083557605743"
"2353","20160615","34.0920844078064"
"2354","20160616","34.0800046920776"
"2355","20160617","34.0720109939575"
"2356","20160618","34.0689675807953"
"2357","20160619","34.0693252086639"
"2358","20160620","34.0723793506622"
"2359","20160621","34.0765771865845"
"2360","20160622","34.0818181037903"
"2361","20160623","34.0868787765503"
"2362","20160624","34.0909218788147"
"2363","20160625","34.0936193466187"
"2364","20160626","34.0946235656738"
"2365","20160627","34.0947453975677"
"2366","20160628","34.0924327373505"
"2367","20160629","34.0905091762543"
"2368","20160630","34.0882928371429"
"2369","20160701","34.0871934890747"
"2370","20160702","34.0865626335144"
"2371","20160703","34.0868690013885"
"2372","20160704","34.0875632762909"
"2373","20160705","34.0882325172424"
"2374","20160706","34.0884053707123"
"2375","20160707","34.0864343643188"
"2376","20160708","34.0808601379395"
"2377","20160709","34.0732917785645"
"2378","20160710","34.0630650520325"
"2379","20160711","34.0514671802521"
"2380","20160712","34.03999376297"
"2381","20160713","34.0298690795898"
"2382","20160714","34.0221047401428"
"2383","20160715","34.0177962779999"
"2384","20160716","34.0177848339081"
"2385","20160717","34.0209631919861"
"2386","20160718","34.0266172885895"
"2387","20160719","34.0330862998962"
"2388","20160720","34.0385982990265"
"2389","20160721","34.0421905517578"
"2390","20160722","34.0423710346222"
