ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AQ025,794,508,27,18607,0.038,-0.243,0.1,0.568,34.1,-2.79,0.67,AQ,25,2,summer,0.1,556.1204751,10.07800192,3,28.5856,191.1204751,summer
AQ027,800,506,24,16064,0.065,-0.237,0.119,0.581,29.4,-2.98,0.53,AQ,27,2,summer,0.1,558.0209776,9.672120139,3,29.4102,193.0209776,summer
AR001,806,508,32,20089,0.034,-0.252,0.103,0.559,37.6,-2.58,0.7,AR,1,2,summer,0.1,559.7602501,9.205852789,3,27.6742,194.7602501,summer
ARavg01,808,,,,,,,,,-2.07,,,,,,0.1,560.6702785,9.078609525,,,195.6702785,
AR101,808,,,,,,,,,-2.05,,,,,,0.1,560.6702785,9.078609525,,,195.6702785,
AR201,808,,,,,,,,,-2.13,,,,,,0.1,560.6702785,9.078609525,,,195.6702785,
AR301,808,,,,,,,,,-2.03,,,,,,0.1,560.6702785,9.078609525,,,195.6702785,
AR401,808,,,,,,,,,-2.07,,,,,,0.1,560.6702785,9.078609525,,,195.6702785,
AR501,808,,,,,,,,,,,,,,,0.1,560.6702785,9.078609525,,,195.6702785,
AR601a,810,,,,,,,,,-2.02,0.57,,,,,0.1,560.8978536,8.979404007,,,195.8978536,
AR003,812,506,36,21857,0.01,-0.161,0.114,0.574,31.9,-2.93,0.38,AR,3,2,summer,0.1,562.0838164,9.074675271,3,29.1932,197.0838164,summer
AR005,818,508,39,14157,0.073,-0.254,0.121,0.556,38.9,-2.72,0.61,AR,5,2,summer,0.1,563.6567065,9.500140113,3,28.2818,198.6567065,summer
AR007,824,,,,,,,,,-2.33,0.5,,,,,0.1,565.2412901,9.682825734,,,200.2412901,
AR009,830,,,,,,,,,-2.35,0.42,,,,,0.1,566.9426566,9.638515623,,,201.9426566,
AR011,836,,,,,,,,,-2.44,0.53,,,,,0.1,568.5426252,9.669817927,,,203.5426252,
AR013,842,,,,,,,,,-2.17,0.79,,,,,0.1,570.2170374,9.71279703,,,205.2170374,
AT015,1058,501,39,15671,0.046,-0.224,0.111,0.55,40.9,-2.01,0.95,AT,15,2,autumn,0.1,626.7229717,9.788080699,4,25.2004,261.7229717,autumn
AT015,1058,502,17,16522,0.066,-0.232,0.118,0.585,28.1,-1.46,0.48,AT,15,2,autumn,0.1,626.7229717,9.788080699,4,22.8134,261.7229717,autumn
AT015,1058,503,29,19308,0.028,-0.209,0.109,0.582,29.3,-1.75,0.42,AT,15,2,autumn,0.1,626.7229717,9.788080699,4,24.072,261.7229717,autumn
AT015,1058,503,33,18534,0.025,-0.266,0.111,0.544,43.4,-1.81,0.4,AT,15,2,autumn,0.1,626.7229717,9.788080699,4,24.3324,261.7229717,autumn
AT015,1058,506,6,16424,0.139,-0.21,0.112,0.643,9.5,-1.84,0.32,AT,15,2,autumn,0.1,626.7229717,9.788080699,4,24.4626,261.7229717,autumn
AT015,1058,507,5,15098,0.231,-0.177,0.1,0.583,28.6,-1.58,0.41,AT,15,2,autumn,0.1,626.7229717,9.788080699,4,23.3342,261.7229717,autumn
AT015,1058,507,8,15014,0.132,-0.189,0.122,0.552,40.4,-1.4,0.74,AT,15,2,autumn,0.1,626.7229717,9.788080699,4,22.553,261.7229717,autumn
